,0
0,3
1,5
2,3
3,3
4,12
5,10
6,12
7,10
8,10
9,14
10,12
11,12
12,8
13,10
14,10
15,10
16,10
17,6
18,2
19,2
20,10
21,6
22,14
23,2
24,2
25,3
26,10
27,5
28,14
29,6
30,12
31,10
32,12
33,2
34,8
35,14
36,3
37,2
38,12
39,12
40,8
41,3
42,2
43,2
44,6
45,12
46,2
47,6
48,2
49,14
50,12
51,14
52,10
53,2
54,6
55,12
56,10
57,5
58,14
59,3
60,10
61,3
62,12
63,6
64,3
65,14
66,10
67,3
68,14
69,12
70,14
71,8
72,6
73,3
74,10
75,10
76,10
77,2
78,5
79,10
80,2
81,12
82,10
83,3
84,2
85,10
86,2
87,6
88,14
89,12
90,10
91,14
92,6
93,12
94,12
95,5
96,12
97,12
98,12
99,14
100,3
101,6
102,12
103,10
104,5
105,14
106,10
107,6
108,2
109,10
110,14
111,6
112,10
113,10
114,10
115,14
116,12
117,12
118,6
119,3
120,14
121,12
122,14
123,14
124,6
125,2
126,10
127,2
128,12
129,2
130,10
131,10
132,2
133,6
134,6
135,5
136,3
137,8
138,12
139,14
140,10
141,12
142,12
143,14
144,12
145,12
146,14
147,14
148,12
149,12
150,10
151,2
152,6
153,2
154,6
155,10
156,14
157,14
158,8
159,2
160,10
161,12
162,2
163,8
164,3
165,3
166,10
167,3
168,5
169,10
170,3
171,2
172,5
173,12
174,10
175,12
176,10
177,14
178,2
179,14
180,6
181,6
182,3
183,10
184,10
185,6
186,10
187,6
188,10
189,2
190,14
191,2
192,3
193,12
194,3
195,6
196,10
197,12
198,8
199,14
200,10
201,6
202,12
203,12
204,10
205,14
206,12
207,12
208,12
209,10
210,2
211,10
212,10
213,3
214,8
215,8
216,2
217,10
218,3
219,6
220,6
221,12
222,10
223,6
224,6
225,6
226,14
227,6
228,14
229,12
230,5
231,12
232,10
233,2
234,10
235,2
236,10
237,12
238,10
239,12
240,14
241,14
242,8
243,6
244,12
245,12
246,10
247,6
248,2
249,6
250,12
251,6
252,10
253,2
254,6
255,3
256,5
257,14
258,14
259,10
260,12
261,3
262,2
