,0
0,12
1,5
2,3
3,12
4,12
5,10
6,3
7,12
8,3
9,14
10,3
11,10
12,8
13,2
14,10
15,12
16,12
17,6
18,12
19,12
20,10
21,6
22,14
23,10
24,12
25,12
26,10
27,5
28,14
29,6
30,10
31,10
32,3
33,12
34,8
35,14
36,3
37,3
38,3
39,3
40,8
41,12
42,2
43,10
44,6
45,10
46,12
47,12
48,2
49,14
50,12
51,14
52,10
53,2
54,6
55,10
56,10
57,5
58,14
59,12
60,10
61,10
62,12
63,3
64,12
65,14
66,12
67,3
68,14
69,12
70,6
71,2
72,6
73,12
74,3
75,10
76,10
77,2
78,5
79,10
80,10
81,3
82,10
83,3
84,12
85,12
86,10
87,6
88,14
89,10
90,10
91,5
92,10
93,3
94,12
95,5
96,10
97,10
98,10
99,14
100,6
101,6
102,3
103,10
104,5
105,14
106,10
107,10
108,12
109,10
110,14
111,6
112,10
113,10
114,5
115,14
116,10
117,10
118,6
119,12
120,14
121,12
122,14
123,14
124,6
125,2
126,10
127,12
128,10
129,2
130,10
131,10
132,2
133,6
134,10
135,5
136,3
137,8
138,10
139,14
140,10
141,12
142,3
143,14
144,12
145,12
146,14
147,14
148,12
149,2
150,10
151,2
152,6
153,2
154,6
155,10
156,14
157,14
158,8
159,12
160,10
161,10
162,10
163,10
164,12
165,10
166,5
167,2
168,5
169,10
170,12
171,2
172,5
173,12
174,3
175,10
176,12
177,14
178,10
179,5
180,6
181,6
182,12
183,12
184,2
185,6
186,10
187,6
188,5
189,2
190,14
191,12
192,12
193,12
194,3
195,6
196,12
197,3
198,8
199,14
200,2
201,6
202,3
203,10
204,10
205,5
206,3
207,12
208,12
209,10
210,3
211,12
212,12
213,12
214,8
215,8
216,2
217,10
218,10
219,6
220,6
221,10
222,10
223,6
224,6
225,6
226,14
227,6
228,14
229,3
230,5
231,3
232,8
233,2
234,10
235,2
236,12
237,3
238,10
239,3
240,14
241,14
242,8
243,6
244,10
245,10
246,3
247,6
248,12
249,6
250,3
251,10
252,10
253,8
254,6
255,10
256,14
257,14
258,14
259,2
260,12
261,12
262,2
263,6
264,14
265,6
266,10
267,10
268,3
269,3
270,8
271,6
272,5
273,14
274,10
275,10
276,10
277,10
278,5
279,12
280,10
281,14
282,14
283,10
284,3
285,8
286,6
287,12
288,3
289,8
290,12
291,10
292,10
293,6
294,3
295,5
296,12
297,8
298,12
299,14
300,10
301,6
302,2
303,12
304,12
305,2
306,6
307,6
308,8
309,10
310,14
311,14
312,10
313,8
314,10
315,10
316,10
317,10
318,12
319,12
320,12
321,2
322,3
323,12
324,12
325,8
326,5
327,3
328,3
329,10
330,12
331,3
332,10
333,2
334,14
335,12
336,5
337,8
338,10
339,5
340,12
341,14
342,10
343,12
344,2
345,3
346,6
347,14
348,12
349,10
350,10
351,10
352,3
353,8
354,3
355,10
356,2
357,10
358,2
359,10
360,12
361,10
362,12
363,3
364,14
365,8
366,12
367,12
368,10
369,10
370,14
371,8
372,8
373,2
374,12
375,8
376,5
377,3
378,2
379,3
380,14
381,12
382,8
383,14
384,2
385,10
386,10
387,8
388,2
389,12
390,12
391,10
392,2
393,2
394,12
395,3
396,8
397,6
398,12
399,10
400,2
401,6
402,10
403,6
404,6
405,3
406,3
407,12
408,10
409,2
410,12
411,14
412,12
413,8
414,10
415,10
416,10
417,12
418,2
419,2
420,2
421,10
422,2
423,6
424,8
425,10
426,10
427,10
428,12
429,6
430,12
431,10
432,3
433,12
434,10
435,5
436,12
437,12
438,10
439,3
440,12
441,14
442,3
443,2
444,3
445,3
446,5
447,12
448,10
449,12
450,10
451,2
452,10
453,10
454,12
455,5
456,8
457,2
458,6
459,3
460,2
461,2
462,3
463,10
464,14
465,10
466,14
467,3
468,14
469,5
470,2
471,6
472,5
473,6
474,10
475,14
476,2
477,12
478,10
479,3
480,5
481,2
482,3
483,6
484,5
485,10
486,8
487,2
488,14
489,6
490,14
491,12
492,12
493,10
494,10
495,10
496,3
497,3
498,12
499,14
500,3
501,10
502,10
503,12
504,2
505,14
506,3
507,2
508,12
509,2
510,10
511,14
512,2
513,10
514,3
515,2
516,14
517,14
518,14
519,12
520,14
521,8
522,10
523,6
524,10
525,14
526,14
527,2
528,14
529,12
530,2
531,10
532,2
533,10
534,2
535,6
536,12
537,12
538,10
539,3
540,6
541,10
542,3
543,10
544,5
545,10
546,3
547,10
548,14
549,10
550,10
551,10
552,10
553,8
554,2
555,12
556,12
557,10
558,10
559,6
560,6
561,3
562,3
563,10
564,10
565,12
566,14
567,2
568,14
569,3
570,3
571,5
572,3
573,14
574,10
575,3
576,12
577,12
578,12
579,12
580,3
581,12
582,10
583,8
584,3
585,12
586,2
587,10
588,12
589,8
590,8
591,10
592,12
593,10
594,2
595,14
596,3
597,14
598,5
599,12
600,3
601,12
602,2
603,2
604,2
605,10
606,10
607,10
608,12
609,10
610,3
611,2
612,6
613,12
614,12
615,10
616,3
617,3
